term1,term2,hu_ju,wup,lin,res,lch,cosine,popularity,hatred,r,overlap
gem,jewel,3.91,0.708041958,0.649949706,5.035199489,2.280249752,0.758465591,0.393530528,0.367291729,1,0.25
midday,noon,3.91,0.214285714,0.177619761,1.66290106,0.634743468,0.217084649,0.177064339,0.177064339,2,0
car,automobile,3.92,0.707692308,0.602738903,4.447242156,2.176910615,0.376448616,0.165328597,0.165328597,3,0.111111111
cemetery,graveyard,3.88,0.658530384,0.508411626,4.312699656,1.835013246,0.318907887,0.13039415,0.196925446,4,0
cushion,pillow,3.84,0.767843137,0.502625816,4.690040425,2.481437457,0.439034237,0.297174195,0.193845683,5,0.1
boy,lad,3.82,0.966666667,0.887380674,7.231576583,3.4065371,0.494090945,0.217461608,0.230830699,6,0.103896104
cock,rooster,3.68,0.835294118,0.748493597,7.598524033,2.713389919,0.595996432,0.115615953,0.311307772,7,0.285714286
tool,implement,3.66,0.516079363,0.449074119,3.694521041,1.603321223,0.434207927,0.326537867,0.326537867,8,0.076923077
forest,woodland,3.65,0.680982906,0.631676886,4.834677788,2.165828991,0.390623804,0.282330358,0.282330358,9,0.1
coast,shore,3.6,0.612109601,0.538936344,4.417132776,1.918006142,0.42009104,0.234891167,0.231239294,10,0.125
autograph,signature,3.59,0.678166822,0.635712189,6.249887986,2.19400838,0.433505988,0.193755217,0.253526292,11,0.1
journey,voyage,3.58,0.591468645,0.441735034,3.636998249,1.75315608,0.416528133,0.296694405,0.38034861,12,0.055555556
serf,slave,3.46,0.757667169,0.600531491,4.876363408,2.323212317,0.504023573,0.210375954,0.394641784,13,0.25
grin,smile,3.46,0.916666667,0.909604103,8.375992317,3.088280015,0.671764247,0.179986813,0.179986813,14,0.25
glass,tumbler,3.45,0.662528829,0.593199155,4.69E+00,2.035565833,0.436895404,0.216088589,0.256438861,15,0.076923077
cord,string,3.41,0.587301587,0.529610659,4.792712572,1.827804283,0.461891747,0.207670382,0.218786159,16,0.125
hill,mound,3.45,0.683301599,0.59510417,5.017411372,2.198174256,0.432922997,0.346978795,0.346978795,17,0.133333333
magician,wizard,3.21,0.811107693,0.728286828,6.192992269,2.540216123,0.472488798,0.236277461,0.236277461,18,0.142857143
furnace,stove,3.11,0.568798304,0.438354347,4.324344953,1.687886019,0.252567722,0.252567722,0.163295339,19,0.045454545
asylum,madhouse,3.64,0.520833333,0.313335649,2.588348344,1.633919567,0.581528302,0.581528302,0.581528302,20,0.25
brother,monk,2.74,0.826140351,0.651479975,6.25E+298,2.500911864,0.424847923,0.314245509,0.257412373,21,0.083333333
food,fruit,2.69,0.746983409,0.624052186,6.356339144,2.293766558,0.400951446,0.255699647,0.255699647,22,0.071428571
bird,cock,2.63,1,1,8.252993817,3.63758616,0.616565199,0.185474349,0.185474349,23,0.153846154
bird,crane,2.63,0.923076923,0.87470839,6.486946184,2.944438979,0.432370346,0.163036002,0.163036002,24,0.125
oracle,sage,2.61,0.741758242,0.594702858,1.49E+298,2.395132835,0.511564512,0.27863015,0.211376445,25,0.103448276
sage,wizard,2.46,0.60419896,0.534727075,4.505073104,1.901433099,0.512062922,0.203681862,0.203681862,26,0.062015504
lad,brother,2.41,0.777777778,0.691021999,6.855454285,2.503853699,0.509960022,0.313097055,0.313097055,27,0.086956522
crane,implement,2.37,0.682894712,0.516402571,4.482926535,1.998928659,0.334049949,0.295539267,0.295539267,28,0.142857143
magician,oracle,1.82,0.876884815,0.794433569,6.971637939,2.656976639,0.426620129,0.208472593,0.239834256,29,0.076923077
glass,jewel,1.78,0.746895292,0.725527483,5.489304689,2.454642771,0.407609588,0.244958894,0.325527471,30,0.025974026
cemetery,mound,1.69,0.841269841,0.726038511,7.107897116,2.622745347,0.454422159,0.286329774,0.211461643,31,0.019607843
journey,car,1.55,0.746141032,0.687826206,5.489320072,2.27355624,0.410491989,0.247068154,0.287625938,32,0.142857143
hill,woodland,1.48,0.617483847,0.481195796,3.882415987,1.915355324,0.348457615,0.209818763,0.209818763,33,0.083333333
crane,rooster,1.41,0.69989461,0.597068137,3.03E+298,2.133515477,0.459911077,0.408863087,0.292639778,34,0.192307692
furnace,implement,1.37,0.516306578,0.329895418,3.573702912,1.528545696,0.274803071,0.182782941,0.182782941,35,0
coast,hill,1.26,0.702099117,0.614702095,5.411588843,2.104003546,0.344126515,0.226958482,0.184780816,36,0.133333333
bird,woodland,1.24,0.923076923,0.848928653,6.486946184,2.944438979,0.368644082,0.154467368,0.154467368,37,0.076923077
shore,voyage,1.22,0.54720696,0.364494534,3.701970553,1.711918676,0.397923739,0.355047664,0.20025028,38,0.083333333
cemetery,woodland,1.18,0.729059829,0.63198306,5.101738502,2.413087598,0.407923964,0.150124571,0.248442907,39,0.083333333
food,rooster,1.09,0.676224283,0.584605067,5.021476385,2.101634256,0.488251646,0.121661072,0.247273493,40,0.181818182
forest,graveyard,1,0.685606061,0.59097287,4.67866666,2.098251473,0.34739383,0.254734966,0.254734966,41,0.071428571
lad,wizard,0.99,0.852287582,0.757615444,6.375564515,2.538973871,0.431276923,0.200019536,0.200019536,42,0.095238095
mound,shore,0.97,0.9,0.907691351,9.943811336,2.538973871,0.496939163,0.133679274,0.185767464,43,0.125
automobile,cushion,0.97,0.627160221,0.5505695,4.445468502,1.793563621,0.215469478,0.164394915,0.208151867,44,0
boy,sage,0.96,0.875,0.895611842,2.00E+299,3.001975394,0.524795894,0.247602103,0.155955618,45,0.116883117
monk,oracle,0.91,0.757088538,0.642160202,5.5469249,2.301731035,0.421969909,0.28099244,0.301171772,46,0.083333333
shore,woodland,0.9,0.69512516,0.502823025,4.544067316,2.049868157,0.364992002,0.317577065,0.317577065,47,0.1
grin,lad,0.88,0.919047619,0.903427845,7.460418739,2.905177967,0.450589451,0.239684382,0.242821719,48,0.071428571
coast,forest,0.85,0.65225211,0.547204432,4.329903582,1.945070181,0.293399229,0.189538264,0.23109487,49,0.043478261
asylum,cemetery,0.79,0.520833333,0.339495732,2.608582244,1.633919567,0.549992976,0.202711745,0.286847464,50,0.05
monk,slave,0.57,0.719421697,0.641214083,5.620490966,2.273838091,0.388512507,0.224864003,0.224864003,51,0.142857143
cushion,jewel,0.45,0.777843137,0.666860818,6.017750015,2.620066893,0.431366574,0.273860358,0.308385763,52,0.142857143
boy,rooster,0.44,0.873319328,0.818121622,6.63568006,3.083068415,0.794936711,0.193325798,0.488294278,53,0.5
glass,magician,0.44,0.719141438,0.686766092,5.494442997,2.198746236,0.387938684,0.256490653,0.208666012,54,0.176470588
graveyard,madhouse,0.42,0.698673059,0.517067799,4.138895936,1.952896538,0.261828751,0.239777956,0.239777956,55,0
asylum,monk,0.39,0.814479638,0.48100422,5.334845111,2.395132835,0.388039003,0.303804587,0.202183032,56,0.05
asylum,fruit,0.19,0.755656109,0.488721855,4.789686035,2.251291799,0.484132866,0.178212803,0.178212803,57,0.050505051
grin,implement,0.18,0.745512821,0.571079219,5.45990166,2.142518312,0.32918415,0.109986752,0.109986752,58,0.076923077
mound,stove,0.14,0.75,0.549134714,4.735377989,2.538973871,0.45398931,0.280292164,0.160831477,59,0.2
automobile,wizard,0.11,0.675505051,0.632734394,5.267738909,2.128638399,0.299749779,0.1218733,0.1218733,60,0
autograph,shore,0.06,0.632358926,0.494545469,4.727602314,1.962959319,0.268676944,0.148474427,0.179353954,61,0.05
fruit,furnace,0.05,0.875,0.65063184,4.137587491,3.088280015,0.339332613,0.115359946,0.208158733,62,0.01010101
noon,string,0.04,0.661904762,0.488247469,4.188679263,2.137649603,0.414318118,0.210032136,0.314299118,63,0.166666667
rooster,voyage,0.04,0.588235294,0.435504157,4.402249455,1.573956763,0.432651736,0.234117744,0.333666189,64,0
chord,smile,0.02,0.872251401,0.736438266,7.205488596,2.496499112,0.365969164,0.23658101,0.23658101,65,0.1
